"Datetime","Shark","T.Ph","Lat","Lon"
2013-07-24 16:52:00,"C69C","M",25.74177,-79.23672
2013-07-24 16:57:00,"C69C","M",25.74088,-79.23665
2013-07-25 12:59:00,"C69C","L",25.74194,-79.23978
2013-07-25 13:06:00,"C69C","L",25.74327,-79.24101
2013-07-25 13:12:00,"C69C","L",25.74472,-79.2408
2013-07-25 13:15:00,"C69C","L",25.74499,-79.24101
2013-07-25 13:20:00,"C69C","L",25.74521,-79.24063
2013-07-25 13:26:00,"C69C","L",25.74698,-79.24017
2013-07-25 13:31:00,"C69C","L",25.74801,-79.24056
2013-07-25 13:36:00,"C69C","L",25.7488,-79.2422
2013-07-25 13:41:00,"C69C","L",25.74837,-79.24087
2013-07-25 13:50:00,"C69C","L",25.74902,-79.24124
2013-07-25 13:55:00,"C69C","L",25.75047,-79.24207
2013-07-25 14:01:00,"C69C","L",25.75232,-79.24247
2013-07-25 14:06:00,"C69C","L",25.75357,-79.2431
2013-07-25 14:11:00,"C69C","L",25.75529,-79.24392
2013-07-25 14:16:00,"C69C","L",25.75592,-79.24384
2013-07-25 14:21:00,"C69C","L",25.75669,-79.24444
2013-07-25 14:26:00,"C69C","L",25.75824,-79.24473
2013-07-25 14:31:00,"C69C","L",25.76082,-79.24585
2013-07-25 14:36:00,"C69C","L",25.76071,-79.24551
2013-07-25 14:41:00,"C69C","L",25.76927,-79.2446
2013-07-25 14:51:00,"C69C","L",25.75739,-79.24426
2013-07-25 14:56:00,"C69C","L",25.75576,-79.24392
2013-07-25 15:01:00,"C69C","L",25.75424,-79.24325
2013-07-25 15:06:00,"C69C","L",25.75293,-79.24301
2013-07-25 15:11:00,"C69C","L",25.75172,-79.24233
2013-07-25 15:16:00,"C69C","L",25.75046,-79.24179
2013-07-25 15:21:00,"C69C","L",25.74913,-79.24092
2013-07-25 15:26:00,"C69C","L",25.7476,-79.23943
2013-07-25 15:32:00,"C69C","L",25.74677,-79.24
2013-07-25 15:38:00,"C69C","L",25.7454,-79.24032
2013-07-25 15:40:00,"C69C","L",25.74512,-79.24048
2013-07-25 15:46:00,"C69C","L",25.74433,-79.23907
2013-07-25 15:51:00,"C69C","L",25.74322,-79.23907
2013-07-25 15:56:00,"C69C","L",25.74253,-79.23828
2013-07-25 16:01:00,"C69C","L",25.7417,-79.23817
2013-07-25 16:07:00,"C69C","L",25.74088,-79.23816
2013-07-25 16:13:00,"C69C","L",25.73983,-79.23888
2013-07-25 16:21:00,"C69C","L",25.74013,-79.23806
2013-07-25 16:26:00,"C69C","L",25.73933,-79.23868
2013-07-25 16:31:00,"C69C","L",25.73978,-79.23907
2013-07-25 16:36:00,"C69C","L",25.74107,-79.23901
2013-07-25 16:41:00,"C69C","L",25.7417,-79.23778
2013-07-25 16:46:00,"C69C","L",25.74153,-79.23643
2013-07-25 16:51:00,"C69C","L",25.7409,-79.23648
2013-07-25 16:56:00,"C69C","L",25.73598,-79.23631
2013-07-25 17:00:00,"C69C","L",25.74058,-79.23672
2013-07-26 14:50:00,"C69C","L",25.7422,-79.24057
2013-07-26 14:56:00,"C69C","L",25.74094,-79.23983
2013-07-26 15:00:00,"C69C","L",25.74013,-79.23931
2013-07-26 15:05:00,"C69C","L",25.73826,-79.23955
2013-07-26 15:10:00,"C69C","L",25.73696,-79.23822
2013-07-26 15:15:00,"C69C","L",25.7365,-79.23983
2013-07-27 11:20:00,"C69C","L",25.73963,-79.24051
2013-07-27 11:27:00,"C69C","H",25.73988,-79.24044
2013-07-27 11:33:00,"C69C","H",25.74187,-79.2409
2013-07-27 11:37:00,"C69C","H",25.74355,-79.24097
2013-07-27 11:41:00,"C69C","H",25.74318,-79.24093
2013-07-27 11:46:00,"C69C","H",25.74192,-79.2406
2013-07-27 11:51:00,"C69C","H",25.74013,-79.2402
2013-07-27 11:56:00,"C69C","H",25.73866,-79.2398
2013-07-27 12:01:00,"C69C","M",25.73699,-79.2397
2013-07-27 12:06:00,"C69C","M",25.73564,-79.24012
2013-07-27 12:11:00,"C69C","H",25.73375,-79.24062
2013-07-27 12:16:00,"C69C","M",25.73278,-79.24103
2013-07-27 12:21:00,"C69C","M",25.73256,-79.24128
2013-07-27 12:26:00,"C69C","L",25.73358,-79.24081
2013-07-27 12:31:00,"C69C","M",25.73293,-79.24091
2013-07-27 12:36:00,"C69C","M",25.73243,-79.2411
2013-07-27 12:46:00,"C69C","M",25.73071,-79.24288
2013-07-27 12:52:00,"C69C","M",25.73058,-79.24342
2013-07-27 12:58:00,"C69C","M",25.72994,-79.24665
2013-07-28 10:43:00,"C69C","M",25.73535,-79.23899
2013-07-28 10:48:00,"C69C","H",25.73573,-79.23801
2013-07-28 10:58:00,"C69C","H",25.73304,-79.23836
2013-07-28 11:03:00,"C69C","H",25.73098,-79.23776
2013-07-28 11:09:00,"C69C","H",25.73154,-79.23914
2013-07-28 11:31:00,"C69C","H",25.72539,-79.24489
2013-07-28 11:39:00,"C69C","H",25.72695,-79.24743
2013-07-28 11:43:00,"C69C","H",25.72553,-79.24915
2013-07-28 11:48:00,"C69C","H",25.72486,-79.2505
2013-07-28 11:53:00,"C69C","H",25.72373,-79.25319
2013-07-28 11:59:00,"C69C","H",25.72461,-79.25466
2013-07-28 12:04:00,"C69C","H",25.72604,-79.25684
2013-07-28 12:09:00,"C69C","H",25.72625,-79.25796
2013-07-28 12:14:00,"C69C","H",25.72509,-79.25943
2013-07-28 12:19:00,"C69C","H",25.72371,-79.26125
2013-07-28 12:26:00,"C69C","H",25.72512,-79.26279
2013-07-28 12:36:00,"C69C","H",25.72565,-79.26489
2013-07-28 12:41:00,"C69C","H",25.72619,-79.26617
2013-07-28 12:46:00,"C69C","H",25.72702,-79.26716
2013-07-28 12:51:00,"C69C","M",25.72711,-79.26888
2013-07-28 12:56:00,"C69C","M",25.72779,-79.27152
2013-07-28 13:21:00,"C69C","M",25.72687,-79.26701
2013-07-28 13:26:00,"C69C","M",25.72707,-79.26385
2013-07-28 13:33:00,"C69C","M",25.72809,-79.25965
2013-07-28 13:43:00,"C69C","M",25.73071,-79.25649
2013-07-28 13:49:00,"C69C","M",25.73168,-79.25488
2013-07-28 13:54:00,"C69C","M",25.73257,-79.25472
2013-07-28 13:59:00,"C69C","M",25.7323,-79.25375
2013-07-28 14:04:00,"C69C","H",25.73291,-79.2522
2013-07-28 14:17:00,"C69C","M",25.73379,-79.24927
2013-07-28 14:25:00,"C69C","M",25.73452,-79.24842
2013-07-28 14:30:00,"C69C","M",25.73566,-79.24709
2013-07-28 14:38:00,"C69C","M",25.7353,-79.24739
2013-07-28 14:43:00,"C69C","M",25.73482,-79.24858
2013-07-28 14:48:00,"C69C","M",25.73422,-79.25079
2013-07-28 14:53:00,"C69C","L",25.73355,-79.25009
2013-07-28 14:58:00,"C69C","L",25.73372,-79.25102
2013-07-28 15:03:00,"C69C","M",25.73358,-79.25194
2013-07-28 15:08:00,"C69C","L",25.73276,-79.25311
2013-07-28 15:13:00,"C69C","L",25.73152,-79.25333
2013-07-28 15:19:00,"C69C","L",25.72908,-79.25359
2013-07-28 15:24:00,"C69C","L",25.72883,-79.25407
2013-07-28 15:29:00,"C69C","L",25.72747,-79.25402
2013-07-28 15:34:00,"C69C","L",25.72696,-79.25444
2013-07-28 15:41:00,"C69C","L",25.72012,-79.25647
2013-07-28 15:46:00,"C69C","L",25.72803,-79.25656
2013-07-28 15:51:00,"C69C","L",25.72634,-79.25747
2013-07-28 15:56:00,"C69C","L",25.72543,-79.25867
2013-07-28 16:01:00,"C69C","L",25.72551,-79.25972
2013-07-28 16:03:00,"C69C","L",25.72497,-79.25862
2012-07-29 21:03:00,"D40","H",25.73794,-79.24576
2012-07-29 21:08:00,"D40","H",25.73746,-79.24537
2012-07-29 21:13:00,"D40","H",25.73703,-79.24429
2012-07-29 21:19:00,"D40","M",25.73742,-79.24551
2012-07-29 21:24:00,"D40","M",25.73763,-79.24516
2012-07-29 21:31:00,"D40","M",25.73804,-79.246
2012-07-30 00:28:00,"D40","M",25.73632,-79.2471
2012-07-30 02:26:00,"D40","L",25.72979,-79.2502
2012-07-30 02:41:00,"D40","L",25.72991,-79.2503
2012-07-30 03:11:00,"D40","M",25.73054,-79.24924
2012-07-30 09:04:00,"D40","H",25.73714,-79.24552
2012-07-30 09:35:00,"D40","M",25.73714,-79.25572
2012-07-30 09:45:00,"D40","M",25.73699,-79.24582
2012-07-30 09:51:00,"D40","M",25.73711,-79.24551
2012-07-30 09:56:00,"D40","M",25.73703,-79.24556
2012-07-30 14:55:00,"D40","M",25.72905,-79.25126
2012-07-30 15:23:00,"D40","M",25.72809,-79.25138
2012-07-31 00:10:00,"D40","H",25.73704,-79.24527
2012-07-31 00:15:00,"D40","M",25.73699,-79.24497
2012-07-31 09:03:00,"D40","H",25.73702,-79.24534
2012-07-31 09:04:00,"D40","M",25.73699,-79.24534
2012-07-31 09:05:00,"D40","M",25.73704,-79.24529
2012-07-31 09:09:00,"D40","M",25.73682,-79.2455
2012-07-31 09:25:00,"D40","H",25.73699,-79.24534
2012-07-31 09:35:00,"D40","H",25.73699,-79.2453
2012-07-31 09:55:00,"D40","H",25.73704,-79.24539
2012-07-31 10:00:00,"D40","H",25.73699,-79.24534
2012-07-31 10:04:00,"D40","H",25.73682,-79.2452
2012-07-31 10:12:00,"D40","M",25.73701,-79.24544
2012-07-31 10:17:00,"D40","L",25.73702,-79.24544
2012-07-31 10:23:00,"D40","H",25.73704,-79.24544
2012-07-31 10:28:00,"D40","M",25.73706,-79.24539
2012-07-31 10:33:00,"D40","H",25.73697,-79.24525
2012-07-31 10:46:00,"D40","M",25.73691,-79.24538
2012-07-31 10:57:00,"D40","M",25.73683,-79.24535
2012-07-31 11:13:00,"D40","M",25.73748,-79.24586
2012-07-31 11:17:00,"D40","M",25.73716,-79.24559
2012-07-31 11:27:00,"D40","M",25.73682,-79.24554
2012-07-31 11:32:00,"D40","M",25.73664,-79.24586
2012-07-31 11:37:00,"D40","M",25.73581,-79.2476
2012-07-31 11:43:00,"D40","M",25.73558,-79.24697
2012-07-31 13:23:00,"D40","L",25.73035,-79.25043
2012-07-31 13:28:00,"D40","L",25.73062,-79.25033
2012-07-31 13:52:00,"D40","L",25.73027,-79.25017
2012-07-31 13:58:00,"D40","L",25.73048,-79.25
2012-07-31 15:02:00,"D40","L",25.73039,-79.2501
2012-07-31 15:04:00,"D40","L",25.73022,-79.2502
2012-07-31 15:05:00,"D40","L",25.73031,-79.25016
2012-07-31 15:16:00,"D40","L",25.73048,-79.25021
2012-07-31 15:25:00,"D40","L",25.7304,-79.25004
2012-07-31 15:29:00,"D40","L",25.73041,-79.25012
2012-07-31 15:34:00,"D40","L",25.73048,-79.2501
2012-07-31 15:45:00,"D40","H",25.73042,-79.25007
2012-07-31 15:54:00,"D40","L",25.73034,-79.25073
2012-08-01 01:34:00,"D40","M",25.73817,-79.24522
2012-08-01 01:40:00,"D40","L",25.73777,-79.24557
2012-08-01 01:46:00,"D40","M",25.737,-79.24849
2012-08-01 01:51:00,"D40","L",25.73616,-79.24909
2012-08-01 14:14:00,"D40","M",25.73068,-79.25025
2012-08-02 15:52:00,"D40","L",25.73003,-79.24994
2014-09-03 16:00:00,"E07","H",25.72485,-79.24218
2014-09-03 16:05:00,"E07","H",25.72718,-79.24684
2014-09-03 16:10:00,"E07","H",25.72697,-79.24568
2014-09-03 16:15:00,"E07","H",25.72614,-79.24532
2014-09-03 16:20:00,"E07","H",25.72503,-79.24548
2014-09-03 16:25:00,"E07","H",25.72415,-79.24707
2014-09-03 16:30:00,"E07","H",25.72268,-79.24888
2014-09-03 16:35:00,"E07","H",25.72212,-79.25004
2014-09-03 16:40:00,"E07","H",25.72172,-79.25129
2014-09-03 16:45:00,"E07","H",25.72188,-79.2539
2014-09-03 16:50:00,"E07","L",25.72095,-79.25578
2014-09-03 16:55:00,"E07","H",25.72132,-79.25695
2014-09-03 17:00:00,"E07","H",25.7217,-79.25806
2014-09-03 17:05:00,"E07","H",25.72298,-79.25995
2014-09-03 17:10:00,"E07","H",25.72443,-79.2626
2014-09-03 17:15:00,"E07","H",25.7247,-79.26233
2014-09-03 17:20:00,"E07","H",25.72418,-79.26296
2014-09-03 17:25:00,"E07","H",25.72455,-79.26445
2014-09-03 17:30:00,"E07","H",25.72598,-79.26714
2014-09-03 17:35:00,"E07","H",25.72685,-79.26833
2014-09-03 17:40:00,"E07","H",25.72679,-79.26745
2014-09-03 17:45:00,"E07","H",25.72695,-79.26449
2014-09-03 17:50:00,"E07","H",25.72697,-79.26588
2014-09-03 17:55:00,"E07","H",25.72673,-79.26466
2014-09-04 00:00:00,"E07","H",25.7366,-79.23607
2014-09-04 00:05:00,"E07","H",25.73775,-79.23598
2014-09-04 00:10:00,"E07","H",25.7392,-79.23666
2014-09-04 00:15:00,"E07","H",25.74089,-79.2369
2014-09-04 00:20:00,"E07","H",25.74193,-79.23735
2014-09-04 00:25:00,"E07","H",25.74114,-79.23928
2014-09-04 00:35:00,"E07","M",25.74095,-79.23963
2014-09-04 00:40:00,"E07","M",25.74184,-79.24013
2014-09-04 00:45:00,"E07","M",25.74404,-79.24105
2014-09-04 00:50:00,"E07","M",25.74494,-79.2401
2014-09-04 00:55:00,"E07","M",25.74628,-79.23997
2014-09-04 01:00:00,"E07","M",25.74762,-79.24003
2014-09-04 01:05:00,"E07","M",25.74804,-79.24109
2014-09-04 01:10:00,"E07","M",25.74843,-79.2417
2014-09-04 01:20:00,"E07","M",25.74904,-79.24108
2014-09-04 01:25:00,"E07","M",25.74968,-79.24167
2014-09-04 01:30:00,"E07","M",25.7504,-79.24168
2014-09-04 01:35:00,"E07","M",25.75045,-79.24201
2014-09-04 01:40:00,"E07","M",25.75188,-79.24231
2014-09-04 01:45:00,"E07","M",25.75135,-79.24269
2014-09-04 01:50:00,"E07","M",25.74964,-79.24212
2014-09-04 01:55:00,"E07","M",25.75001,-79.24089
2014-09-04 02:00:00,"E07","M",25.7503,-79.24159
2014-09-04 02:10:00,"E07","M",25.74974,-79.2414
2014-09-04 02:32:00,"E07","M",25.74258,-79.24065
2014-09-04 02:37:00,"E07","M",25.7404,-79.24039
2014-09-04 02:42:00,"E07","M",25.73838,-79.2398
2014-09-04 02:47:00,"E07","M",25.73573,-79.23992
2014-09-04 02:52:00,"E07","M",25.734,-79.23984
2014-09-04 14:38:00,"E07","M",25.73074,-79.25633
2014-09-04 14:44:00,"E07","M",25.73124,-79.25633
2014-09-04 14:49:00,"E07","M",25.73174,-79.25418
2014-09-04 14:59:00,"E07","M",25.72923,-79.25642
2014-09-04 15:04:00,"E07","M",25.72829,-79.25823
2014-09-04 15:09:00,"E07","M",25.72632,-79.2599
2014-09-04 15:14:00,"E07","M",25.72445,-79.25202
2014-09-04 15:19:00,"E07","M",25.72431,-79.25496
2014-09-04 15:24:00,"E07","M",25.72253,-79.25684
2014-09-04 15:29:00,"E07","M",25.72078,-79.25802
2014-09-04 15:34:00,"E07","M",25.72119,-79.25826
2014-09-04 15:39:00,"E07","M",25.72351,-79.26712
2014-09-04 15:44:00,"E07","H",25.72572,-79.26511
2014-09-04 15:54:00,"E07","H",25.7267,-79.26158
2014-09-04 15:59:00,"E07","H",25.72613,-79.26939
2014-09-04 16:04:00,"E07","H",25.72466,-79.25943
2014-09-04 16:09:00,"E07","H",25.7257,-79.25731
2014-09-04 16:14:00,"E07","H",25.72776,-79.25755
2014-09-04 16:19:00,"E07","H",25.72322,-79.25664
2014-09-04 16:24:00,"E07","H",25.73053,-79.25608
2014-09-04 16:29:00,"E07","H",25.73077,-79.25596
