"time","station","elasmo","sensor.value","sensor.unit","location","Agency","Species"
2017-01-12 07:36:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 07:38:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 07:46:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 16:13:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 17:08:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 17:17:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 17:19:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 17:21:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 17:23:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 20:32:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 20:38:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:02:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:04:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:06:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:09:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:13:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:49:00,124049,"16961",NA,"","mini wall","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:51:00,124049,"16961",NA,"","mini wall","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:53:00,124049,"16961",NA,"","mini wall","BBFSF.Bim","Galeocerdo cuvier"
2017-01-12 21:55:00,124049,"16961",NA,"","mini wall","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:00:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:08:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:12:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:14:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:16:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:17:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:19:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:22:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:23:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:26:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:28:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:30:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:34:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:44:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:46:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-13 23:49:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-16 07:41:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-16 07:43:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-17 08:37:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-17 08:39:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-17 08:42:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 09:56:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 09:58:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 10:00:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 10:01:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 10:06:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 10:08:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 10:12:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 11:09:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 11:11:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 11:13:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 11:16:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 11:18:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 11:21:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-18 11:23:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:03:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:05:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:08:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:11:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:13:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:15:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:17:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 04:19:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 06:43:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 06:52:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 06:58:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:00:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:02:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:08:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:11:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:13:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:15:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:17:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-19 07:19:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:15:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:17:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:19:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:20:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:22:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:24:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:27:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:29:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:32:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:34:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:36:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:40:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 05:43:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 10:07:00,104673,"23154",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 10:09:00,104673,"23154",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 10:11:00,104673,"23154",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 10:13:00,104673,"23154",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 10:17:00,104673,"23154",NA,"","pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 11:17:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-20 11:23:00,125907,"23154",NA,"","north pier","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 02:12:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 02:15:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 02:21:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 02:23:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 02:25:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 02:27:00,126406,"23154",NA,"","north finger 2","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:06:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:17:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:19:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:37:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:39:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:45:00,124084,"23154",NA,"","north rock","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:55:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 04:57:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 05:00:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 05:01:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 05:03:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 05:04:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
2017-01-21 05:06:00,125906,"23154",NA,NA,"north finger 1","BBFSF.Bim","Galeocerdo cuvier"
