"GPS.N","GPS.W","location","location.code","mooring","Hobo.present","Agency","depth","habitattype","year"
"29.17903333","-85.68513333","MS26","MS26",NA,"n","FWC",NA,NA,NA
"29.18433333","-85.68671667","MS27","MS27",NA,"n","FWC",NA,NA,NA
"29.18916667","-85.68918333","MS28","MS28",NA,"n","FWC",NA,NA,NA
"29.1401","-85.77297","MS43","MS43",NA,"n","FWC",NA,NA,"n"
"29.14178","-85.78157","MS46","MS46",NA,"n","FWC",NA,NA,"n"
"29.13862","-85.77747","MS56","MS56",NA,"n","FWC",NA,NA,"n"
"31.08409","-81.17211","BN 03","BN 03",NA,"n","GADNR",NA,NA,"n"
"31.0912","-81.18997","BN 04","BN 04",NA,"n","GADNR",NA,NA,NA
"31.09681","-81.20782","BN 05","BN 05",NA,"n","GADNR",NA,NA,NA
"31.09947","-81.22613","BN 06","BN 06",NA,"n","GADNR",NA,NA,NA
"31.10537","-81.24387","BN 07","BN 07",NA,"n","GADNR",NA,NA,NA
"30.93319","-81.15422","BS 01","BS 01",NA,"n","GADNR",NA,NA,"n"
"30.93326","-81.17183","BS 02","BS 02",NA,"n","GADNR",NA,NA,"n"
"30.93313","-81.19009","BS 03","BS 03",NA,"n","GADNR",NA,NA,"n"
"30.93312","-81.20824","BS 04","BS 04",NA,"n","GADNR",NA,NA,"n"
"30.93302","-81.22632","BS 05","BS 05",NA,"n","GADNR",NA,NA,"n"
"30.93312","-81.2441","BS 06","BS 06",NA,"n","GADNR",NA,NA,"n"
"29.68336","-81.20428","GAICFS_1","GAICFS_1",NA,"n","GAICFS",NA,NA,NA
"29.66358","-81.1959","GAICFS_2","GAICFS_2",NA,"n","GAICFS",NA,NA,NA
"29.6439","-81.1875","GAICFS_3","GAICFS_3",NA,"n","GAICFS",NA,NA,NA
"29.62405","-81.179","GAICFS_4","GAICFS_4",NA,"n","GAICFS",NA,NA,NA
"29.60493","-81.17095","GAICFS_5","GAICFS_5",NA,"n","GAICFS",NA,NA,NA
"26.32559","-80.07108","Boca1","Boca1",NA,"n","Inwater Research Group",NA,NA,NA
"26.32114","-80.07129","Boca2","Boca2",NA,"n","Inwater Research Group",NA,NA,NA
"26.31649","-80.07191","Boca3","Boca3",NA,"n","Inwater Research Group",NA,NA,NA
"26.31203","-80.07211","Boca4","Boca4",NA,"n","Inwater Research Group",NA,NA,NA
"26.30746","-80.07288","Boca5","Boca5",NA,"n","Inwater Research Group",NA,NA,NA
"27.34722","-80.23212","Intake","Intake",NA,"n","Inwater Research Group",NA,NA,NA
"27.33957","-80.22894","Walton","Walton",NA,"n","Inwater Research Group",NA,NA,NA
"28.7869","-80.55965","BOEM WG SV3","BOEM WG SV3",NA,"n","KSC",NA,NA,NA
"28.553354","-80.510059","BOEM1","BOEM1",NA,"n","KSC",NA,NA,NA
"28.42528","-80.30194","BOEM10","BOEM10",NA,"n","KSC",NA,NA,NA
"28.3101","-80.4569","BOEM11","BOEM11",NA,"n","KSC",NA,NA,NA
"28.531145","-80.466545","BOEM2","BOEM2",NA,"n","KSC",NA,NA,NA
"28.510353","-80.424712","BOEM3","BOEM3",NA,"n","KSC",NA,NA,NA
"28.458005","-80.478153","BOEM4","BOEM4",NA,"n","KSC",NA,NA,NA
"28.437111","-80.429518","BOEM5","BOEM5",NA,"n","KSC",NA,NA,NA
"28.39965","-80.53358","BOEM6","BOEM6",NA,"n","KSC",NA,NA,NA
"28.70321","-80.54107","BOEM7","BOEM7",NA,"n","KSC",NA,NA,NA
"28.68201","-80.4271","BOEM8","BOEM8",NA,"n","KSC",NA,NA,NA
"28.52843","-80.35162","BOEM9","BOEM9",NA,"n","KSC",NA,NA,NA
"28.41132","-80.58135","CC1","CC1",NA,"n","KSC",NA,NA,NA
"28.440036","-80.521241","CC10","CC10",NA,"n","KSC",NA,NA,NA
"28.479511","-80.533495","CC11","CC11",NA,"n","KSC",NA,NA,NA
"28.509053","-80.549075","CC12","CC12",NA,"n","KSC",NA,NA,NA
"28.539112","-80.561056","CC13","CC13",NA,"n","KSC",NA,NA,NA
"28.571293","-80.567327","CC14","CC14",NA,"n","KSC",NA,NA,NA
"28.600678","-80.584132","CC15","CC15",NA,"n","KSC",NA,NA,NA
"28.626155","-80.606753","CC16","CC16",NA,"n","KSC",NA,NA,NA
"28.483306","-80.524195","CC17","CC17",NA,"n","KSC",NA,NA,NA
