ODBA,resting,bursting,Tidal_Phase,Diel_Phase,Season,ID,Size
0.1546,0,0,2,4,1,6,103
0.0895,0,1.7,1,4,1,6,103
0.1055,0,0,1,4,1,6,103
0.1023,0,0,1,4,1,6,103
0.0991,0,0,1,4,1,6,103
0.1336,0,0,1,1,1,6,103
0.0803,0,11.7,2,1,1,6,103
0.0808,0,3.3,2,2,1,6,103
0.0721,0,8.3,3,2,1,6,103
0.0646,0,0,3,2,1,6,103
0.0689,0,0,3,2,1,6,103
0.064,0,0,3,2,1,6,103
0.0658,0,0,2,2,1,6,103
0.0699,1.7,0,2,2,1,6,103
0.0716,0,0,1,2,1,6,103
0.1248,0,0,1,2,1,6,103
0.1167,0,8.3,1,2,1,6,103
0.1048,0,1.7,1,3,1,6,103
0.0938,0,0,1,3,1,6,103
0.0621,78.3,0,2,4,1,6,103
0.0853,0,10,2,4,1,6,103
0.0623,0,0,3,4,1,6,103
0.0731,0,0,3,4,1,6,103
0.0695,0,10,3,4,1,6,103
0.0626,0,0,3,4,1,6,103
0.0612,0,0,2,4,1,6,103
0.0885,3.3,0,2,4,1,6,103
0.1147,0,0,1,4,1,6,103
0.0734,0,0,1,4,1,6,103
0.0908,0,0,1,1,1,6,103
0.0758,0,0,1,1,1,6,103
0.069,0,0,1,2,1,6,103
0.1453,0,0,2,2,1,6,103
0.0694,0,1.7,2,2,1,6,103
0.0663,0,0,3,2,1,6,103
0.0716,0,0,3,2,1,6,103
0.0662,3.3,0,3,2,1,6,103
0.079,0,0,3,2,1,6,103
0.0737,5,0,2,2,1,6,103
0.0685,0,0,2,2,1,6,103
0.1206,0,0,1,2,1,6,103
0.0838,0,0,1,3,1,6,103
0.0824,0,0,1,3,1,6,103
0.0762,0,3.3,1,4,1,6,103
0.0716,0,0,1,4,1,6,103
0.0283,100,0,2,4,1,6,103
0.051,18.3,0,2,4,1,6,103
0.0626,0,0,3,4,1,6,103
0.0754,0,0,3,4,1,6,103
0.0928,0,0,3,4,1,6,103
0.091,0,8.3,3,4,1,6,103
0.0969,0,0,2,4,1,6,103
0.1577,0,3.3,2,4,1,6,103
0.1181,0,13.3,1,1,1,6,103
0.0868,1.7,0,1,1,1,6,103
0.0709,0,0,1,2,1,6,103
0.0279,100,0,1,2,1,6,103
0.0746,0,0,1,2,1,6,103
0.0541,0,0,2,2,1,6,103
0.0641,0,0,3,2,1,7,104
0.0809,26.7,0,3,2,1,7,104
0.0922,21.7,23.3,3,2,1,7,104
0.088,5,6.7,3,2,1,7,104
0.0933,0,3.3,2,2,1,7,104
0.0708,0,1.7,2,2,1,7,104
0.0923,0,0,1,2,1,7,104
0.0664,0,31.7,1,2,1,7,104
0.123,0,0,1,2,1,7,104
0.0859,11.7,18.3,1,2,1,7,104
0.0881,8.3,0,2,3,1,7,104
0.1017,0,3.3,2,3,1,7,104
0.1051,0,16.7,3,4,1,7,104
0.0567,5,8.3,3,4,1,7,104
0.0285,58.3,11.7,3,4,1,7,104
0.0835,100,0,3,4,1,7,104
0.0795,0,0,3,4,1,7,104
0.0834,8.3,3.3,2,4,1,7,104
0.0692,0,8.3,2,4,1,7,104
0.0747,5,0,1,4,1,7,104
0.0859,1.7,0,1,1,1,7,104
0.0774,0,0,1,1,1,7,104
0.1207,3.3,13.3,1,2,1,7,104
0.0762,0,3.3,2,2,1,7,104
0.078,0,3.3,2,2,1,7,104
0.0566,5,0,3,2,1,7,104
0.0291,56.7,0,3,2,1,7,104
0.1275,100,0,3,2,1,7,104
0.0744,0,20,3,2,1,7,104
0.0722,0,0,3,2,1,7,104
0.0878,1.7,0,2,2,1,7,104
0.1107,5,3.3,2,2,1,7,104
0.1338,51.7,6.7,1,2,1,7,104
0.0279,63.3,5,1,2,1,7,104
0.1371,100,0,1,3,1,7,104
0.0598,0,16.7,1,3,1,7,104
0.0649,33.3,1.7,2,4,1,7,104
0.092,30,0,2,4,1,7,104
0.0369,43.3,10,3,4,1,7,104
0.0247,88.3,0,3,4,1,7,104
0.0824,100,0,3,4,1,7,104
0.0568,5,8.3,3,4,1,7,104
0.1126,35,0,3,4,1,7,104
0.0688,0,43.3,2,4,1,7,104
0.0708,3.3,0,2,1,1,7,104
0.0724,11.7,3.3,1,1,1,7,104
0.0661,0,0,1,2,1,7,104
0.0926,3.3,0,1,2,1,7,104
0.1345,16.7,8.3,1,2,1,7,104
0.119,0,0,2,2,1,7,104
0.1055,0,0,2,2,1,7,104
0.0301,0,18.3,3,2,1,7,104
0.1106,100,0,3,2,1,7,104
0.0674,0,3.3,3,2,1,7,104
0.0929,10,3.3,3,2,1,7,104
0.087,0,0,3,2,1,7,104
0.1063,0,5,2,2,1,7,104
0.0987,41.7,15,2,2,1,7,104
0.0309,3.3,28.3,1,3,1,7,104
0.1236,100,0,1,3,1,7,104
0.1058,0,45,1,4,1,7,104
0.0827,0,3.3,1,4,1,7,104
0.031,0,5,2,4,1,7,104
0.0831,100,0,2,4,1,7,104
0.0791,0,5,3,4,1,7,104
0.1464,0,8.3,3,4,1,7,104
0.0986,1.7,21.7,3,4,1,7,104
0.0841,0,5,3,4,1,7,104
0.0984,0,1.7,3,1,1,7,104
0.0726,1.7,20,2,1,1,7,104
0.0672,3.3,3.3,2,2,1,7,104
0.0727,3.3,0,1,2,1,7,104
