ODBA ,resting,bursting,Tidal_Phase,Diel_Phase,Season,ID,Size
0.0760927,0,0,3,2,1,1,78
0.0796805,0,0,3,2,1,1,78
0.0865185,0,3.33,3,2,1,1,78
0.0826304,0,0,3,2,1,1,78
0.0855097,0,3.33,3,2,1,1,78
0.0776412,0,0,3,2,1,1,78
0.110838,0,8.33,3,2,1,1,78
0.07875,0,0,3,2,1,1,78
0.0788349,0,1.67,3,2,1,1,78
0.079004,0,0,3,2,1,1,78
0.0777457,0,0,3,2,1,1,78
0.0825647,0,0,3,2,1,1,78
0.0783122,0,0,3,2,1,1,78
0.0734014,0,0,3,2,1,1,78
0.0807836,0,0,2,2,1,1,78
0.0771789,0,0,2,2,1,1,78
0.0829245,0,1.67,2,2,1,1,78
0.0807614,0,0,2,2,1,1,78
0.0766312,0,0,2,2,1,1,78
0.0828783,0,0,2,2,1,1,78
0.0845145,0,0,2,2,1,1,78
0.076388,0,0,2,2,1,1,78
0.078151,0,0,2,2,1,1,78
0.0793447,0,0,2,2,1,1,78
0.0854924,0,5,2,2,1,1,78
0.0842092,0,0,2,2,1,1,78
0.0836295,0,0,2,2,1,1,78
0.0878675,0,5,2,2,1,1,78
0.0837302,0,0,2,2,1,1,78
0.0932818,0,8.33,2,2,1,1,78
0.122741,0,20,2,2,1,1,78
0.0681507,0,0,2,2,1,1,78
0.0764188,0,0,2,2,1,1,78
0.0828847,0,0,2,2,1,1,78
0.0773159,0,0,2,2,1,1,78
0.0782157,0,0,2,2,1,1,78
0.0817999,0,0,2,2,1,1,78
0.0787822,0,0,2,2,1,1,78
0.088137,0,0,2,2,1,1,78
0.0756325,0,0,2,2,1,1,78
0.0725879,0,0,1,2,1,1,78
0.072155,0,0,1,2,1,1,78
0.0792485,0,0,1,2,1,1,78
0.0724544,0,0,1,2,1,1,78
0.0771919,0,0,1,2,1,1,78
0.0857053,0,5,1,2,1,1,78
0.0765495,0,0,1,2,1,1,78
0.0720027,6.67,0,1,2,1,1,78
0.0801817,0,0,1,2,1,1,78
0.0788935,0,0,1,2,1,1,78
0.0723843,0,0,1,2,1,1,78
0.0818328,1.67,0,1,2,1,1,78
0.0784167,0,0,1,2,1,1,78
0.0812804,3.33,0,1,2,1,1,78
0.0846405,3.33,0,1,2,1,1,78
0.0801123,0,0,1,2,1,1,78
0.080404,0,0,1,2,1,1,78
0.0796332,0,0,1,2,1,1,78
0.0709625,3.33,0,1,2,1,1,78
0.0717469,0,0,1,2,1,1,78
0.0830162,0,0,1,2,1,1,78
0.0818985,0,3.33,1,2,1,1,78
0.0797915,0,0,1,2,1,1,78
0.0798523,0,0,1,2,1,1,78
0.0299965,100,0,1,2,1,1,78
0.0298098,96.67,0,1,2,1,1,78
0.0309313,100,0,1,2,1,1,78
0.0984749,0,0,1,2,1,1,78
0.0872005,0,0,1,2,1,1,78
0.101886,0,0,1,2,1,1,78
0.0926467,3.33,0,1,2,1,1,78
0.0909947,0,3.33,1,2,1,1,78
0.0993117,0,1.67,1,2,1,1,78
0.0994187,0,6.67,1,2,1,1,78
0.089844,0,1.67,1,2,1,1,78
0.0833415,0,0,1,2,1,1,78
0.081274,1.67,0,1,2,1,1,78
0.0838738,0,0,1,2,1,1,78
0.0899572,1.67,0,1,2,1,1,78
0.0863798,3.33,0,1,2,1,1,78
0.0765742,0,0,1,2,1,1,78
0.0802678,0,1.67,1,2,1,1,78
0.077642,0,0,1,2,1,1,78
0.0800965,11.67,0,1,2,1,1,78
0.0924048,0,1.67,1,2,1,1,78
0.119067,0,6.67,1,2,1,1,78
